"date","caption","link"
2023-07-10,"Echovirus 11 - Europe: severe neonatal infection","https://promedmail.org/promed-post/?id=8711049&view=true"
2023-07-10,"Meningitis, meningococcal - Russia (03): (SV) workers/2 companies/1 hostel, RFI","https://promedmail.org/promed-post/?id=8711054&view=true"
2023-07-10,"Anthrax - Türkiye (02): (SS) livestock quarantine lifted","https://promedmail.org/promed-post/?id=8711050&view=true"
2023-07-09,"Diphtheria - SE Asia (03): Indonesia (JI)","https://promedmail.org/promed-post/?id=8711048&view=true"
2023-07-09,"Pertussis update (17): Philippines, fatal","https://promedmail.org/promed-post/?id=8711047&view=true"
2023-07-09,"Undiagnosed illness - Nepal: (KN) women, children, fever, sore throat, rash, RFI","https://promedmail.org/promed-post/?id=8711046&view=true"
2023-07-09,"Amebic meningoencephalitis, primary - India: (KL) fatal","https://promedmail.org/promed-post/?id=8711045&view=true"
2023-07-09,"Anthrax - Indonesia (04): (YO) livestock vaccination","https://promedmail.org/promed-post/?id=8711037&view=true"
2023-07-09,"Trichinellosis - Russia: (TR) bear meat","https://promedmail.org/promed-post/?id=8711038&view=true"
2023-07-09,"Anthrax - Canada (02): (NT) bison, confirmed","https://promedmail.org/promed-post/?id=8711039&view=true"
2023-07-09,"Malaria - Americas (09): USA (FL, TX) autochthonous, update","https://promedmail.org/promed-post/?id=8711042&view=true"
2023-07-08,"Rabies (31): Americas (USA) fox, bat, cat, human exp","https://promedmail.org/promed-post/?id=8711034&view=true"
2023-07-08,"Avian influenza (110): Europe (Poland) cat, HPAI H5N1, spread, RFI","https://promedmail.org/promed-post/?id=8711035&view=true"
2023-07-08,"Crimean-Congo hem. fever - Asia (17): Afghanistan, surge after Eid al-Adha","https://promedmail.org/promed-post/?id=8711029&view=true"
2023-07-08,"Meningitis, meningococcal - Russia (02): (SV) warehouse employees, fatal, RFI","https://promedmail.org/promed-post/?id=8711030&view=true"
2023-07-08,"Diphtheria - Europe (05): (Belgium) refugee family, children, nurse, fatal, RFI","https://promedmail.org/promed-post/?id=8711031&view=true"
2023-07-08,"St. Louis encephalitis - USA (02): (CA)","https://promedmail.org/promed-post/?id=8711032&view=true"
2023-07-08,"Cholera, diarrhea & dysentery update (13): Africa, Asia, Americas","https://promedmail.org/promed-post/?id=8711025&view=true"
2023-07-08,"Avian influenza (109): Europe (Italy) cat, dog, HPAI H5N1, serology","https://promedmail.org/promed-post/?id=8711028&view=true"
2023-07-08,"Anthrax - USA (03): (MN) livestock","https://promedmail.org/promed-post/?id=8711027&view=true"
