"date","caption","link"
2023-03-15,"Botulism - Europe (02): ex Turkey, iatrogenic, Turkish cases, ECDC","https://promedmail.org/promed-post/?id=8708949&view=true"
2023-03-15,"Contaminated drug - Europe (03): (Denmark) dicloxacillin, MDR Enterobacter, RFI","https://promedmail.org/promed-post/?id=8708948&view=true"
2023-03-15,"Avian influenza (48): Americas (USA, Canada) skunk, HPAI","https://promedmail.org/promed-post/?id=8708945&view=true"
2023-03-15,"Streptococcus suis - Viet Nam: raw pork meat/blood consumption, alert","https://promedmail.org/promed-post/?id=8708940&view=true"
2023-03-15,"Equine infectious anemia - South America: Uruguay (SA) WOAH","https://promedmail.org/promed-post/?id=8708937&view=true"
2023-03-15,"Leaf rust, soybean - Brazil: increase","https://promedmail.org/promed-post/?id=8708936&view=true"
2023-03-15,"Brucellosis, canine - Russia: (SK) dog, susp., RFI","https://promedmail.org/promed-post/?id=8708935&view=true"
2023-03-15,"Anthrax - Russia: (CV) human, exposed during livestock slaughter","https://promedmail.org/promed-post/?id=8708934&view=true"
2023-03-14,"BSE, cattle - Switzerland: (GR) atypical L-type, WOAH","https://promedmail.org/promed-post/?id=8708931&view=true"
2023-03-14,"Botulism - Europe: ex Turkey, iatrogenic, ECDC","https://promedmail.org/promed-post/?id=8708929&view=true"
2023-03-14,"Leptospirosis - Indonesia (04): (JI) seasonal flooding, rats","https://promedmail.org/promed-post/?id=8708927&view=true"
2023-03-14,"Leptospirosis - USA: (CA) sea lion","https://promedmail.org/promed-post/?id=8708925&view=true"
2023-03-14,"Avian influenza (47): Americas (Chile) poultry, HPAI","https://promedmail.org/promed-post/?id=8708926&view=true"
2023-03-14,"Avian influenza (46): Asia (India) poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8708924&view=true"
2023-03-14,"Pertussis update (05): Canada (ON) low vaccination coverage, 2022-23","https://promedmail.org/promed-post/?id=8708920&view=true"
2023-03-14,"Histoplasmosis - Cuba: (Artemisa) bat cave  ","https://promedmail.org/promed-post/?id=8708912&view=true"
2023-03-14,"Avian influenza (45): Americas (Canada, USA) HPAI H5N1, wild bird, mixed poultry","https://promedmail.org/promed-post/?id=8708918&view=true"
2023-03-14,"Zika virus (02): Americas, Europe, research, observations","https://promedmail.org/promed-post/?id=8708917&view=true"
2023-03-13,"Dengue/DHF update (03) - Americas","https://promedmail.org/promed-post/?id=8708916&view=true"
2023-03-13,"Chikungunya (02): Americas, Europe, Asia, insecticide resistance","https://promedmail.org/promed-post/?id=8708909&view=true"
