"date","caption","link"
2023-04-24,"Botulism - USA (02): canned shrimp, risk, expanded recall","https://promedmail.org/promed-post/?id=8709672&view=true"
2023-04-24,"Avian influenza (73): Asia (Japan) wild bird, HPAI H5N8, WOAH","https://promedmail.org/promed-post/?id=8709671&view=true"
2023-04-24,"Avian influenza (72): Europe (Norway) captive bird, zoo, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8709670&view=true"
2023-04-24,"Avian influenza (71): Americas (USA) seal die-off, 2022","https://promedmail.org/promed-post/?id=8709669&view=true"
2023-04-24,"Newcastle disease - Mauritania: (NW) poultry","https://promedmail.org/promed-post/?id=8709668&view=true"
2023-04-24,"Malaria - Americas (03): (Costa Rica, Panama)","https://promedmail.org/promed-post/?id=8709665&view=true"
2023-04-23,"Measles update (20): Europe, Asia, Africa, W. Pacific, Americas, Middleeast","https://promedmail.org/promed-post/?id=8709653&view=true"
2023-04-23,"Meningitis - Nigeria (04): (YO) fatal, new variant, RFI","https://promedmail.org/promed-post/?id=8709652&view=true"
2023-04-23,"Meningitis - Iraq: (SM, HJ) children, RFI","https://promedmail.org/promed-post/?id=8709650&view=true"
2023-04-23,"Leishmaniasis, visceral - Brazil (02): (RO) dogs","https://promedmail.org/promed-post/?id=8709649&view=true"
2023-04-23,"Schistosomiasis - USA: (CA) dogs","https://promedmail.org/promed-post/?id=8709648&view=true"
2023-04-23,"African swine fever - Asia (08): Singapore ex Indonesia, domestic pig","https://promedmail.org/promed-post/?id=8709647&view=true"
2023-04-23,"Feline infectious peritonitis: New Zealand, possible new treatment","https://promedmail.org/promed-post/?id=8709646&view=true"
2023-04-23,"Plague - Madagascar (02): (AM)","https://promedmail.org/promed-post/?id=8709640&view=true"
2023-04-23,"Hepatitis A - USA (04): (PA)","https://promedmail.org/promed-post/?id=8709639&view=true"
2023-04-22,"Foot & mouth disease - Iran, Russia: livestock, st SAT-2, prevention, RFI","https://promedmail.org/promed-post/?id=8709637&view=true"
2023-04-22,"Strangles - North America (03): Canada (ON) USA (FL, MI, MO) horse","https://promedmail.org/promed-post/?id=8709634&view=true"
2023-04-22,"Mpox update (16): cases, disparities, South Korea","https://promedmail.org/promed-post/?id=8709604&view=true"
2023-04-22,"Poliomyelitis update (20): WPV1 ES, cVDPV1 AFP, cVDPV2 ES, Indonesia, Burundi, DR Congo","https://promedmail.org/promed-post/?id=8709635&view=true"
2023-04-22,"Avian influenza (70): Americas (Uruguay, Canada, USA) poultry","https://promedmail.org/promed-post/?id=8709633&view=true"
