"date","caption","link"
2023-03-29,"Avian influenza (55): Europe, poultry, wild bird, HPAI H5N1, H5, WOAH","https://promedmail.org/promed-post/?id=8709204&view=true"
2023-03-29,"Apple dimple fruit viroid, pomegranate - Spain: new host","https://promedmail.org/promed-post/?id=8709206&view=true"
2023-03-29,"Avian influenza, human (12): China (GD) H3N8","https://promedmail.org/promed-post/?id=8709207&view=true"
2023-03-29,"Meningitis, meningococcal - Kyrgyzstan: RFI","https://promedmail.org/promed-post/?id=8709208&view=true"
2023-03-29,"Influenza (03): Viet Nam (HC) H1N1, RFI","https://promedmail.org/promed-post/?id=8709209&view=true"
2023-03-29,"COVID-19 update (13): India, surveillance, HCW, rats, infant hospitalizations, WHO, global","https://promedmail.org/promed-post/?id=8709196&view=true"
2023-03-29,"Undiagnosed deaths - Burundi: (KI, MY) VHF susp, RFI","https://promedmail.org/promed-post/?id=8709205&view=true"
2023-03-29,"Foot & mouth disease - Turkiye (05): (Thrace) livestock, st SAT-2, vaccination","https://promedmail.org/promed-post/?id=8709203&view=true"
2023-03-29,"Sooty mold, mango - India: (AD)","https://promedmail.org/promed-post/?id=8709202&view=true"
2023-03-28,"Leptospirosis - Vanuatu: heavy rainfall, flooding, MOH update","https://promedmail.org/promed-post/?id=8709178&view=true"
2023-03-28,"Syphilis - Canada (03): sharp increases, P/S/latent, women, congenital, 2017-21 ","https://promedmail.org/promed-post/?id=8709179&view=true"
2023-03-28,"Hantavirus - Americas (13): Argentina (BA)","https://promedmail.org/promed-post/?id=8709175&view=true"
2023-03-27,"Botulism - Viet Nam: (QM) fatal","https://promedmail.org/promed-post/?id=8709173&view=true"
2023-03-27,"Rickettsia: Mexico (CP) cattle, 1st rep","https://promedmail.org/promed-post/?id=8709168&view=true"
2023-03-26,"Cholera, diarrhea & dysentery update (08): Americas, Asia, Africa","https://promedmail.org/promed-post/?id=8709160&view=true"
2023-03-25,"Listeriosis - Europe (03): (UK) fatal, soft cheeses, recall, alert, RFI","https://promedmail.org/promed-post/?id=8709156&view=true"
2023-03-25,"Legionellosis - Europe: Estonia, spas, RFI","https://promedmail.org/promed-post/?id=8709150&view=true"
2023-03-25,"Rift Valley fever - Uganda (03): (RR)","https://promedmail.org/promed-post/?id=8709149&view=true"
2023-03-25,"Poliomyelitis update (15): Peru, AFP cVDPV1, regional update, RFI","https://promedmail.org/promed-post/?id=8709148&view=true"
2023-03-25,"Invasive mosquito - USA: (FL)","https://promedmail.org/promed-post/?id=8709146&view=true"
