"date","caption","link"
2023-01-20,"Cholera, diarrhea & dysentery update (03): Americas (Haiti, Dom Rep) PAHO, CDC","https://promedmail.org/promed-post/?id=8707882&view=true"
2023-01-20,"Salmonellosis, st Enteritidis - Sweden: egg, alert, recall","https://promedmail.org/promed-post/?id=8707881&view=true"
2023-01-20,"Avian influenza, human (03): Americas (Ecuador) H5N1 susp, update, WHO","https://promedmail.org/promed-post/?id=8707869&view=true"
2023-01-20,"Diphtheria - Nigeria: (KN) fatal, low vaccination rate","https://promedmail.org/promed-post/?id=8707871&view=true"
2023-01-20,"Listeriosis - Americas: (USA) enoki mushroom, alert, recall","https://promedmail.org/promed-post/?id=8707870&view=true"
2023-01-20,"Influenza (1): India, Canada, H3N1, H3, untyped","https://promedmail.org/promed-post/?id=8707868&view=true"
2023-01-20,"Mpox update (03): worldwide, USA, DR Congo","https://promedmail.org/promed-post/?id=8707842&view=true"
2023-01-19,"Avian influenza (09): Europe, wild bird, poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8707841&view=true"
2023-01-19,"Oropouche virus - Colombia","https://promedmail.org/promed-post/?id=8707856&view=true"
2023-01-19,"Xylella, citrus - Portugal","https://promedmail.org/promed-post/?id=8707855&view=true"
2023-01-19,"Listeriosis - Europe: (Switzerland) fatal, smoked trout, recall, 2022","https://promedmail.org/promed-post/?id=8707853&view=true"
2023-01-19,"Undiagnosed leaf spots, maize - USA: (Upper Midwest)","https://promedmail.org/promed-post/?id=8707852&view=true"
2023-01-19,"African swine fever - Europe: Germany, semen vehicle, exptl","https://promedmail.org/promed-post/?id=8707848&view=true"
2023-01-18,"Canine influenza - North America (02): USA (GA) dog","https://promedmail.org/promed-post/?id=8707847&view=true"
2023-01-18,"Avian influenza (08): Americas (Mexico) HPAI H7N3, commercial poultry","https://promedmail.org/promed-post/?id=8707846&view=true"
2023-01-18,"Squirrel pox, red squirrel - UK: (Scotland)","https://promedmail.org/promed-post/?id=8707844&view=true"
2023-01-18,"Avian influenza (07): Americas (USA) bear, HPAI H5N1","https://promedmail.org/promed-post/?id=8707843&view=true"
2023-01-18,"Stem rust, wheat - UK: multiple races","https://promedmail.org/promed-post/?id=8707837&view=true"
2023-01-17,"Streptococcus, gp A update (02): Australia, invasive, fatal, alert","https://promedmail.org/promed-post/?id=8707834&view=true"
2023-01-17,"Measles update (03): Afghanistan, Serbia, India, DRC","https://promedmail.org/promed-post/?id=8707833&view=true"
