"date","caption","link"
2023-05-04,"African swine fever - Asia (10): Singapore (West) domestic, WOAH","https://promedmail.org/promed-post/?id=8709861&view=true"
2023-05-04,"Avian influenza (80): Africa (South Africa) wild bird, poultry, HPAI, H5, WOAH","https://promedmail.org/promed-post/?id=8709860&view=true"
2023-05-04,"Stripe rust, wheat - Türkiye: (ED)","https://promedmail.org/promed-post/?id=8709859&view=true"
2023-05-04,"Potato spindle tuber viroid, tomato - New Zealand (02)","https://promedmail.org/promed-post/?id=8709858&view=true"
2023-05-04,"Undiagnosed hemorrhagic fever - Uganda: (JI) fatal, RFI","https://promedmail.org/promed-post/?id=8709835&view=true"
2023-05-04,"Legionellosis - Europe (02): Lithuania (KS) RFI ","https://promedmail.org/promed-post/?id=8709850&view=true"
2023-05-04,"African swine fever - Asia (09): Singapore ex Indonesia, domestic pig, conf","https://promedmail.org/promed-post/?id=8709852&view=true"
2023-05-04,"Leishmaniasis, visceral - Uruguay: (RV) dog","https://promedmail.org/promed-post/?id=8709855&view=true"
2023-05-04,"Atypical myopathy, horse - UK: (England) fatal, alert","https://promedmail.org/promed-post/?id=8709825&view=true"
2023-05-03,"Meningitis, meningococcal - Australia: (SA) sgB, RFI","https://promedmail.org/promed-post/?id=8709847&view=true"
2023-05-03,"Trichinellosis - Spain: (CL) wild boar meat, RFI","https://promedmail.org/promed-post/?id=8709844&view=true"
2023-05-03,"Avian influenza (79): Americas (USA) Californian condor, HPAI H5N1","https://promedmail.org/promed-post/?id=8709843&view=true"
2023-05-03,"Lassa fever - West Africa (09): Nigeria","https://promedmail.org/promed-post/?id=8709806&view=true"
2023-05-03,"Anthrax - Ukraine (02): (ZP) Russian troops digging trench","https://promedmail.org/promed-post/?id=8709817&view=true"
2023-05-03,"New in IJID (05): May 2023","https://promedmail.org/promed-post/?id=8709836&view=true"
2023-05-03,"Tar spot, maize - USA: (Midwest)","https://promedmail.org/promed-post/?id=8709842&view=true"
2023-05-03,"Avian influenza (78): Americas (Mexico, Central/South), poultry/wild, H5N1, WOAH","https://promedmail.org/promed-post/?id=8709816&view=true"
2023-05-03,"Pertussis update (11): Malaysia (SA)","https://promedmail.org/promed-post/?id=8709826&view=true"
2023-05-03,"Porcine circovirus - USA: swine, vaccine effectiveness","https://promedmail.org/promed-post/?id=8709833&view=true"
2023-05-03,"Marburg virus disease - Tanzania (03): (KG) details, RFI","https://promedmail.org/promed-post/?id=8709834&view=true"
