"date","caption","link"
2022-02-08,"Leprosy - Dominican Republic: incidence fall","https://promedmail.org/promed-post/?id=8701343&view=true"
2022-02-08,"Avian influenza (37): Asia (Japan) wild bird, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8701340&view=true"
2022-02-08,"Avian influenza (36): Americas (USA) wild bird, HPAI H5N1","https://promedmail.org/promed-post/?id=8701339&view=true"
2022-02-08,"COVID-19 update (42): Paxlovid, children, mAb, omicron, WHO","https://promedmail.org/promed-post/?id=8701334&view=true"
2022-02-08,"Lassa fever - West Africa (03): Nigeria","https://promedmail.org/promed-post/?id=8701326&view=true"
2022-02-08,"Foot & mouth disease - South Africa: (NL) cattle, st SAT-2","https://promedmail.org/promed-post/?id=8701324&view=true"
2022-02-08,"Invasive tick - East Africa","https://promedmail.org/promed-post/?id=8701310&view=true"
2022-02-07,"Anthrax - Iraq: (DA) cattle","https://promedmail.org/promed-post/?id=8701323&view=true"
2022-02-07,"Canine distemper, wildlife - USA: (CO) fox, alert","https://promedmail.org/promed-post/?id=8701316&view=true"
2022-02-07,"Equine herpesvirus - North America (01): USA, horse","https://promedmail.org/promed-post/?id=8701309&view=true"
2022-02-07,"Avian influenza (35): Americas (Canada) poultry, HPAI ","https://promedmail.org/promed-post/?id=8701308&view=true"
2022-02-06,"Cholera, diarrhea & dysentery update (04): Asia (Philippines), Africa (Nigeria)","https://promedmail.org/promed-post/?id=8701301&view=true"
2022-02-06,"Listeriosis - Israel: (Tel Aviv) pregnancy, fish","https://promedmail.org/promed-post/?id=8701302&view=true"
2022-02-06,"COVID-19 update (41): vaccine, nasal, Spikevax, long COVID, mRNA Africa, WHO","https://promedmail.org/promed-post/?id=8701297&view=true"
2022-02-06,"New in IJID (02): January 2022","https://promedmail.org/promed-post/?id=8701298&view=true"
2022-02-06,"Diarrhea - South Africa: (WC) children, RFI","https://promedmail.org/promed-post/?id=8701284&view=true"
2022-02-06,"Undiagnosed illness, dog - UK (02): (England) canine enteric coronavirus","https://promedmail.org/promed-post/?id=8701293&view=true"
2022-02-06,"Scrapie, sheep - Romania: (AR)","https://promedmail.org/promed-post/?id=8701295&view=true"
2022-02-05,"Salmonellosis, st Oranienburg - USA: CDC, raw onions","https://promedmail.org/promed-post/?id=8701286&view=true"
2022-02-05,"Foodborne illness - Turkey: (KO) RFI","https://promedmail.org/promed-post/?id=8701283&view=true"
