"date","caption","link"
2022-07-25,"Monkeypox update (38)","https://promedmail.org/promed-post/?id=8704644&view=true"
2022-07-24,"Cholera, diarrhea & dysentery update (26): Africa (Somalia), Asia (Afghanistan, Iran)","https://promedmail.org/promed-post/?id=8704638&view=true"
2022-07-24,"Plague - China (02): (NM)","https://promedmail.org/promed-post/?id=8704637&view=true"
2022-07-24,"Meningitis, meningococcal - USA (07): (FL) fatal, sg C, MSM, Hisp., HIV-pos, vacc","https://promedmail.org/promed-post/?id=8704633&view=true"
2022-07-24,"Crimean-Congo hem. fever - Asia (08): Afghanistan, Kazakhstan","https://promedmail.org/promed-post/?id=8704568&view=true"
2022-07-24,"Monkeypox update (37)","https://promedmail.org/promed-post/?id=8704627&view=true"
2022-07-24,"Japanese encephalitis & other - India (14): (AS)","https://promedmail.org/promed-post/?id=8704625&view=true"
2022-07-24,"Kyasanur forest disease - India (05): (MH)","https://promedmail.org/promed-post/?id=8704585&view=true"
2022-07-24,"Avian influenza (152): Europe (Poland, Germany) poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8704618&view=true"
2022-07-23,"Poliomyelitis update (31): WPV1 AFP (Pakistan), VDPV2 (USA), cVDPV2 (Nigeria, Yemen)","https://promedmail.org/promed-post/?id=8704617&view=true"
2022-07-23,"African swine fever - Asia (13): India (KL) domestic, 1st rep","https://promedmail.org/promed-post/?id=8704616&view=true"
2022-07-23,"Foot & mouth disease - Indonesia (13): livestock, spread, intl impact","https://promedmail.org/promed-post/?id=8704604&view=true"
2022-07-23,"Peste des petits ruminants - Algeria: sheep, goat, WOAH","https://promedmail.org/promed-post/?id=8704608&view=true"
2022-07-23,"Monkeypox update (36)","https://promedmail.org/promed-post/?id=8704611&view=true"
2022-07-23,"COVID-19 update (157): monoclonal Ab & antivirals, WHO","https://promedmail.org/promed-post/?id=8704612&view=true"
2022-07-23,"Anthrax - Azerbaijan (02): (BR) cattle, WOAH","https://promedmail.org/promed-post/?id=8704602&view=true"
2022-07-22,"Salmonellosis, st Stanley - USA: pet turtle","https://promedmail.org/promed-post/?id=8704601&view=true"
2022-07-22,"Newcastle disease - Philippines (02): (CV) poultry","https://promedmail.org/promed-post/?id=8704586&view=true"
2022-07-22,"Bat lyssavirus (EBLV-2) - Switzerland (02): Brandt's bat, correction","https://promedmail.org/promed-post/?id=8704596&view=true"
2022-07-22,"Monkeypox update (35)","https://promedmail.org/promed-post/?id=8704591&view=true"
