"date","caption","link"
2023-07-11,"Mpox update (27): cases, Cameroon, Thailand, RFI","https://promedmail.org/promed-post/?id=8710983&view=true"
2023-07-11,"Anthrax - Russia (12): (RZ) livestock, quarantine initiated","https://promedmail.org/promed-post/?id=8711075&view=true"
2023-07-10,"Tick-borne encephalitis - Europe, Asia: breast milk transmission suspected","https://promedmail.org/promed-post/?id=8711074&view=true"
2023-07-10,"Anthrax - Romania: (IS) cattle, human, cutaneous lesions, susp","https://promedmail.org/promed-post/?id=8711068&view=true"
2023-07-10,"Cyclosporiasis - USA (04): (TX)","https://promedmail.org/promed-post/?id=8711070&view=true"
2023-07-10,"Avian influenza (111): Europe (UK) wild bird, HPAI H5N1","https://promedmail.org/promed-post/?id=8711066&view=true"
2023-07-10,"Kerala wilt & ganoderma, coconut palm - India: (TN)","https://promedmail.org/promed-post/?id=8711065&view=true"
2023-07-10,"Streptococcus, gp A update (16): Argentina, iGAS, fatal   ","https://promedmail.org/promed-post/?id=8711060&view=true"
2023-07-10,"Dengue/DHF update (07): Americas, PAHO/WHO","https://promedmail.org/promed-post/?id=8711058&view=true"
2023-07-10,"Echovirus 11 - Europe: severe neonatal infection","https://promedmail.org/promed-post/?id=8711049&view=true"
2023-07-10,"Meningitis, meningococcal - Russia (03): (SV) workers/2 companies/1 hostel, RFI","https://promedmail.org/promed-post/?id=8711054&view=true"
2023-07-10,"Anthrax - Türkiye (02): (SS) livestock quarantine lifted","https://promedmail.org/promed-post/?id=8711050&view=true"
2023-07-09,"Diphtheria - SE Asia (03): Indonesia (JI)","https://promedmail.org/promed-post/?id=8711048&view=true"
2023-07-09,"Pertussis update (17): Philippines, fatal","https://promedmail.org/promed-post/?id=8711047&view=true"
2023-07-09,"Undiagnosed illness - Nepal: (KN) women, children, fever, sore throat, rash, RFI","https://promedmail.org/promed-post/?id=8711046&view=true"
2023-07-09,"Amebic meningoencephalitis, primary - India: (KL) fatal","https://promedmail.org/promed-post/?id=8711045&view=true"
2023-07-09,"Anthrax - Indonesia (04): (YO) livestock vaccination","https://promedmail.org/promed-post/?id=8711037&view=true"
2023-07-09,"Trichinellosis - Russia: (TR) bear meat","https://promedmail.org/promed-post/?id=8711038&view=true"
2023-07-09,"Anthrax - Canada (02): (NT) bison, confirmed","https://promedmail.org/promed-post/?id=8711039&view=true"
2023-07-09,"Malaria - Americas (09): USA (FL, TX) autochthonous, update","https://promedmail.org/promed-post/?id=8711042&view=true"
