"date","caption","link"
2022-11-23,"Toxoplasmosis - USA: (HI) dolphin, 2015, 2019","https://promedmail.org/promed-post/?id=8706878&view=true"
2022-11-23,"Rabies (51): Europe (Spain) dog, ex Morocco, WOAH","https://promedmail.org/promed-post/?id=8706877&view=true"
2022-11-23,"Scrub typhus - India (05): (UP) fatal","https://promedmail.org/promed-post/?id=8706865&view=true"
2022-11-23,"Anthrax - Zambia (02): (WE) cattle, RFI","https://promedmail.org/promed-post/?id=8706858&view=true"
2022-11-23,"Shigellosis - Africa: Tunisia, Shigella sonnei, MDR, RFI  ","https://promedmail.org/promed-post/?id=8706869&view=true"
2022-11-23,"Fungal meningitis - Mexico: (DU) fatal, epidural anesthetic, RFI","https://promedmail.org/promed-post/?id=8706866&view=true"
2022-11-23,"X disease, cherry - India: (HP)","https://promedmail.org/promed-post/?id=8706864&view=true"
2022-11-22,"Invasive mosquito - Cyprus (03): Turkish area","https://promedmail.org/promed-post/?id=8706859&view=true"
2022-11-22,"Avian influenza (217): Europe, captive, wild bird, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8706852&view=true"
2022-11-22,"Avian influenza (216): Americas (USA) bear, HPAI H5N1","https://promedmail.org/promed-post/?id=8706856&view=true"
2022-11-22,"Avian influenza (215): Asia (China) wild bird, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8706849&view=true"
2022-11-22,"Pertussis update (05): Bolivia, alert","https://promedmail.org/promed-post/?id=8706855&view=true"
2022-11-22,"Diphtheria - Pakistan (02): fatal","https://promedmail.org/promed-post/?id=8706853&view=true"
2022-11-22,"Peste des petits ruminants - Mongolia (03): sheep, goat, spread, control, 2017-21","https://promedmail.org/promed-post/?id=8706851&view=true"
2022-11-22,"Monkeypox update (110): worldwide cases","https://promedmail.org/promed-post/?id=8706846&view=true"
2022-11-22,"Peste des petits ruminants - Mongolia (02): sheep, goat, spread, control, RFI","https://promedmail.org/promed-post/?id=8706844&view=true"
2022-11-22,"Rabbit hemorrhagic disease - South Africa: (WC,NC) wild, RHDV, 1st rep, WOAH","https://promedmail.org/promed-post/?id=8706840&view=true"
2022-11-21,"Avian influenza (214): Asia (Israel) HPAI H5, poultry","https://promedmail.org/promed-post/?id=8706839&view=true"
2022-11-21,"Tick-borne pathogens - Canada: (QC,ON) geographic expansion","https://promedmail.org/promed-post/?id=8706819&view=true"
2022-11-21,"Rabbit hemorrhagic disease - Norway: (VE) domestic, RHDV2, WOAH","https://promedmail.org/promed-post/?id=8706838&view=true"
