"date","caption","link"
2022-01-07,"Syphilis - Russia: (BK)","https://promedmail.org/promed-post/?id=8700715&view=true"
2022-01-07,"Lassa fever - West Africa (01): Nigeria ","https://promedmail.org/promed-post/?id=8700707&view=true"
2022-01-07,"Avian influenza, human: Europe (UK) H5N1","https://promedmail.org/promed-post/?id=8700700&view=true"
2022-01-07,"COVID-19 update (07): virus in nasal passages, test & release, case surge, WHO","https://promedmail.org/promed-post/?id=8700702&view=true"
2022-01-07,"Equine influenza - UK: (England) ex Ireland, horse","https://promedmail.org/promed-post/?id=8700706&view=true"
2022-01-07,"Avian influenza (10): Europe (Portugal) wild bird, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700705&view=true"
2022-01-06,"Avian influenza (09): Europe (UK) wild bird, HPAI, conservation concern","https://promedmail.org/promed-post/?id=8700696&view=true"
2022-01-06,"Hepatitis A - USA (01): (PA) restaurant cluster, fatal","https://promedmail.org/promed-post/?id=8700688&view=true"
2022-01-06,"COVID-19 update (06): Corbevax, omicron, B.1.640.2, lockdowns, WHO, global","https://promedmail.org/promed-post/?id=8700679&view=true"
2022-01-05,"Typhoid fever - Philippines: (NC)","https://promedmail.org/promed-post/?id=8700681&view=true"
2022-01-05,"Avian influenza (08): Europe (Denmark) wild bird, HPAI H5N8, OIE","https://promedmail.org/promed-post/?id=8700677&view=true"
2022-01-05,"Avian influenza (07): Europe (Portugal) backyard, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700676&view=true"
2022-01-05,"Avian influenza (06): Asia (Israel) HPAI H5N1, poultry, update","https://promedmail.org/promed-post/?id=8700668&view=true"
2022-01-04,"COVID-19 update (05): vacc. safety in children, boosters, Novavax, France, global","https://promedmail.org/promed-post/?id=8700665&view=true"
2022-01-04,"African swine fever - Europe (01): Moldova (BR) domestic, OIE","https://promedmail.org/promed-post/?id=8700663&view=true"
2022-01-04,"Avian influenza (06): Europe (Portugal, Bulgaria) poultry, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700656&view=true"
2022-01-03,"Avian influenza (05): Europe (Denmark) poultry, HPAI H5N1, spread","https://promedmail.org/promed-post/?id=8700655&view=true"
2022-01-03,"COVID-19 update (04): USA, reinfection, young adult, comment","https://promedmail.org/promed-post/?id=8700652&view=true"
2022-01-03,"MERS-CoV (01): Saudi Arabia (RI,MK,SH)","https://promedmail.org/promed-post/?id=8700645&view=true"
2022-01-03,"Poliomyelitis update (01): WPV1 (ES), cVDPV1+2 (AFP) 2021, COVID","https://promedmail.org/promed-post/?id=8700644&view=true"
