"date","caption","link"
2023-04-05,"Rabies (12): Americas (USA) human, PEP failure","https://promedmail.org/promed-post/?id=8709345&view=true"
2023-04-05,"Varicella update: Viet Nam","https://promedmail.org/promed-post/?id=8709343&view=true"
2023-04-05,"Avian influenza (61): Americas (Chile) poultry, wild bird, mammal, H5N1, H5, WOAH","https://promedmail.org/promed-post/?id=8709342&view=true"
2023-04-05,"White nose syndrome, bat - North America (02): Canada (BC)","https://promedmail.org/promed-post/?id=8709340&view=true"
2023-04-05,"Malaria - Myanmar: (KN) rise","https://promedmail.org/promed-post/?id=8709334&view=true"
2023-04-05,"Haseki tick virus - Russia: (PR) RFI","https://promedmail.org/promed-post/?id=8709333&view=true"
2023-04-05,"African swine fever - Asia (07): Bhutan (GE) domestic, WOAH","https://promedmail.org/promed-post/?id=8709332&view=true"
2023-04-04,"Avian influenza (60): Americas (Chile, USA) commercial, mixed flocks, gamebirds","https://promedmail.org/promed-post/?id=8709331&view=true"
2023-04-04,"Botulism - Europe (03): ex Türkiye, iatrogenic, Turkish cases, ECDC","https://promedmail.org/promed-post/?id=8709326&view=true"
2023-04-04,"Streptococcus, gp A update (11): Europe, scarlet fever, invasive, fatal, children","https://promedmail.org/promed-post/?id=8709321&view=true"
2023-04-04,"African swine fever - Europe (11): wild boar, domestic, WOAH","https://promedmail.org/promed-post/?id=8709316&view=true"
2023-04-04,"Yellow fever - Americas (06): Bolivia (EB)","https://promedmail.org/promed-post/?id=8709318&view=true"
2023-04-04,"Foot & mouth disease - Indonesia (03): livestock, control","https://promedmail.org/promed-post/?id=8709315&view=true"
2023-04-04,"Gastroenteritis - Kenya: (KK) cholera susp, fatal, RFI","https://promedmail.org/promed-post/?id=8709313&view=true"
2023-04-04,"Anthrax (02): human, injection, definition","https://promedmail.org/promed-post/?id=8709312&view=true"
2023-04-03,"Avian influenza (59): Americas (USA, Chile) mammal","https://promedmail.org/promed-post/?id=8709307&view=true"
2023-04-03,"Murray Valley encephalitis - Australia (06): (WA) fatal","https://promedmail.org/promed-post/?id=8709304&view=true"
2023-04-03,"Avian influenza (58): Africa (Senegal) poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8709302&view=true"
2023-04-02,"Rabies: (11): New Zealand ex travel, Americas, human exp, dog, cat, wildlife","https://promedmail.org/promed-post/?id=8709299&view=true"
2023-04-02,"Scabies - Bangladesh: (CG) Cox's Bazar Rohingya refugee camp","https://promedmail.org/promed-post/?id=8709292&view=true"
