"date","caption","link"
2022-05-11,"Equine infectious anemia - North America (02): Canada (AB), USA (CA)","https://promedmail.org/promed-post/?id=8703174&view=true"
2022-05-11,"Foot & mouth disease - Indonesia: (JI, AC) cattle, serotype pending, OIE","https://promedmail.org/promed-post/?id=8703175&view=true"
2022-05-11,"Hepatitis, undefined, global (10): children, possible adenovirus, 2021-22","https://promedmail.org/promed-post/?id=8703166&view=true"
2022-05-11,"COVID-19 update (115): obesity in children, US, China surges, WHO","https://promedmail.org/promed-post/?id=8703172&view=true"
2022-05-10,"Monkeypox - Africa (06): Nigeria","https://promedmail.org/promed-post/?id=8703169&view=true"
2022-05-10,"Pasteurellosis, deer - Spain: (AN)","https://promedmail.org/promed-post/?id=8703165&view=true"
2022-05-10,"Crimean-Congo hem. fever - Asia (03): Georgia, Turkey, Iraq","https://promedmail.org/promed-post/?id=8702957&view=true"
2022-05-10,"Kyasanur forest disease - India (04): (KA) fatal","https://promedmail.org/promed-post/?id=8703072&view=true"
2022-05-10,"Japanese encephalitis - Australia (23): (SA) pig","https://promedmail.org/promed-post/?id=8703159&view=true"
2022-05-09,"Foot & mouth disease - Maghreb: Algeria, Tunisia, epidemiol., transbound. threat","https://promedmail.org/promed-post/?id=8703156&view=true"
2022-05-09,"Hand, foot & mouth disease update (02): Malaysia, Peru","https://promedmail.org/promed-post/?id=8703155&view=true"
2022-05-09,"Hepatitis, undefined, global (09): children, possible adenovirus, 2021-2022 ","https://promedmail.org/promed-post/?id=8703151&view=true"
2022-05-09,"Cholera, diarrhea & dysentery update (16): Africa, Asia","https://promedmail.org/promed-post/?id=8703090&view=true"
2022-05-09,"Avian influenza (115): Americas (Canada) fox, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8703152&view=true"
2022-05-09,"Bovine tuberculosis - Spain: badger","https://promedmail.org/promed-post/?id=8703150&view=true"
2022-05-09,"African swine fever - Europe (12): Italy (Rome), wild boar","https://promedmail.org/promed-post/?id=8703149&view=true"
2022-05-09,"Hantavirus - Americas (20): Chile (NB)","https://promedmail.org/promed-post/?id=8703143&view=true"
2022-05-09,"Undiagnosed deaths - Bahamas: (EM) Amer. tourists, resort, RFI","https://promedmail.org/promed-post/?id=8703131&view=true"
2022-05-09,"Avian influenza (114): Americas (USA) mixed flocks, HPAI","https://promedmail.org/promed-post/?id=8703137&view=true"
2022-05-08,"Rabies (16): Asia (Malaysia, Peninsular) human, RFI","https://promedmail.org/promed-post/?id=8703129&view=true"
