"date","caption","link"
2021-12-01,"COVID-19 update (412): international travel, long COVID, WHO, global","https://promedmail.org/promed-post/?id=8700001&view=true"
2021-12-01,"Rift Valley fever - Libya: (AW) livestock, susp","https://promedmail.org/promed-post/?id=8700000&view=true"
2021-12-01,"Avian influenza (166): China (HB) wild bird, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8699991&view=true"
2021-12-01,"Foodborne illness - Tanzania: (Zanzibar) sea turtle meat, fatal","https://promedmail.org/promed-post/?id=8699974&view=true"
2021-12-01,"Yellow fever - Africa (19): Ghana","https://promedmail.org/promed-post/?id=8699981&view=true"
2021-12-01,"Avian influenza (165): Europe (UK) poultry, wild, HPAI H5N1, spread","https://promedmail.org/promed-post/?id=8699982&view=true"
2021-11-30,"COVID-19 update (411): UK boosters & surge, Israel, testing, WHO","https://promedmail.org/promed-post/?id=8699977&view=true"
2021-11-30,"Avian influenza (164): Iran (AR,SM) poultry, HPAI H5N5, OIE","https://promedmail.org/promed-post/?id=8699976&view=true"
2021-11-30,"Syphilis - USA (06): (IA) women, drug use, congenital","https://promedmail.org/promed-post/?id=8699973&view=true"
2021-11-30,"COVID-19 update (410): omicron, WHO update, impact, patience, global","https://promedmail.org/promed-post/?id=8699966&view=true"
2021-11-30,"Dengue/DHF update (06): Americas, Asia, research","https://promedmail.org/promed-post/?id=8699963&view=true"
2021-11-30,"Lumpy skin disease - Europe (02): Russia (BK) cattle, OIE","https://promedmail.org/promed-post/?id=8699958&view=true"
2021-11-30,"Hantavirus - Asia (02): Taiwan","https://promedmail.org/promed-post/?id=8699962&view=true"
2021-11-30,"Equine influenza - UK: (England) ex Ireland","https://promedmail.org/promed-post/?id=8699961&view=true"
2021-11-29,"Rhinotracheitis, bovine (IBR/IPV): Austria, Kazakhstan, OIE  ","https://promedmail.org/promed-post/?id=8699956&view=true"
2021-11-29,"COVID-19 update (409): animal, Croatia, zoo, lion, OIE","https://promedmail.org/promed-post/?id=8699951&view=true"
2021-11-29,"Avian influenza (163): India (RJ) wild bird, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8699948&view=true"
2021-11-29,"Tuberculosis - Canada: (NU) Inuit, alert, RFI","https://promedmail.org/promed-post/?id=8699943&view=true"
2021-11-29,"Poliomyelitis update (22): global (WPV1 Afghanistan, cVDPV2 multicountry), IHR","https://promedmail.org/promed-post/?id=8699938&view=true"
2021-11-29,"Epizootic hemorrhagic disease, cattle, deer - Tunisia: (JE) spread ","https://promedmail.org/promed-post/?id=8699939&view=true"
