"date","caption","link"
2023-01-25,"Meningitis - Nigeria: (JI) fatal, alert, RFI","https://promedmail.org/promed-post/?id=8707967&view=true"
2023-01-25,"Diphtheria - Nigeria (03): fatal","https://promedmail.org/promed-post/?id=8707966&view=true"
2023-01-25,"Rabbit hemorrhagic disease - USA: (TX) wild rabbit, alert","https://promedmail.org/promed-post/?id=8707964&view=true"
2023-01-25,"Maedi-visna - UK: (Scotland) sheep","https://promedmail.org/promed-post/?id=8707962&view=true"
2023-01-25,"Avian influenza (14): Americas (Canada, USA) HPAI, H5N1, poultry, commercial","https://promedmail.org/promed-post/?id=8707958&view=true"
2023-01-24,"Salmonellosis - India: (KL) restaurant, raw egg mayonnaise","https://promedmail.org/promed-post/?id=8707955&view=true"
2023-01-24,"Foot & mouth disease - Iraq (02): (NI,DI) livestock, spread, RFI","https://promedmail.org/promed-post/?id=8707950&view=true"
2023-01-24,"Lassa fever - West Africa (02): Nigeria","https://promedmail.org/promed-post/?id=8707942&view=true"
2023-01-24,"Diphtheria - Nigeria (02): (KN) fatal, RFI","https://promedmail.org/promed-post/?id=8707946&view=true"
2023-01-24,"Nipah virus - Bangladesh (02): (RS,DH)","https://promedmail.org/promed-post/?id=8707941&view=true"
2023-01-24,"Avian influenza (13): Europe, wild bird, poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8707929&view=true"
2023-01-24,"Foot & mouth disease - Jordan (04): (MA) susp, livestock, control, trade","https://promedmail.org/promed-post/?id=8707940&view=true"
2023-01-23,"Measles update (04): India, Afghanistan, USA","https://promedmail.org/promed-post/?id=8707937&view=true"
2023-01-23,"African swine fever - Europe (05): Russia, Moldova, Greece, dom/wild boar, WOAH","https://promedmail.org/promed-post/?id=8707930&view=true"
2023-01-23,"Die-off, marine crustaceans - UK: (England) update","https://promedmail.org/promed-post/?id=8707927&view=true"
2023-01-23,"Avian influenza (12): Europe (UK) otter, fox, HPAI H5N1","https://promedmail.org/promed-post/?id=8707926&view=true"
2023-01-23,"Streptococcus, gp A update (03): Denmark, invasive, increase, 2022","https://promedmail.org/promed-post/?id=8707920&view=true"
2023-01-22,"COVID-19 update (03): China, guidelines, vacc, immunity, sequelae, WHO","https://promedmail.org/promed-post/?id=8707910&view=true"
2023-01-22,"Salmonellosis, st Vitkin & IIIb 61:z52:z53 - USA: bearded dragon","https://promedmail.org/promed-post/?id=8707906&view=true"
2023-01-22,"Avian influenza (11): Europe (Spain) mink, H5N1, 2.3.4.4b, epidemiology, 2022","https://promedmail.org/promed-post/?id=8707905&view=true"
