"date","caption","link"
2023-02-10,"Fungal meningitis - Mexico (02): (DU) fatal, contam. drug susp., doctor charged  ","https://promedmail.org/promed-post/?id=8708297&view=true"
2023-02-10,"African swine fever - Asia (03): Singapore (Northwest) wild boar, 1st rep, WOAH","https://promedmail.org/promed-post/?id=8708292&view=true"
2023-02-10,"Avian influenza (26): Americas (Cuba) captive bird, zoo, HPAI H5N1, 1st rep, WOAH","https://promedmail.org/promed-post/?id=8708291&view=true"
2023-02-10,"Anthrax - Zimbabwe: (MA) livestock, quarantine, alert","https://promedmail.org/promed-post/?id=8708283&view=true"
2023-02-10,"Mpox update (06): worldwide, antivirals","https://promedmail.org/promed-post/?id=8708259&view=true"
2023-02-10,"Chronic wasting disease - Finland: novel strain, moose","https://promedmail.org/promed-post/?id=8708279&view=true"
2023-02-10,"Chronic wasting disease - North America (01): USA (WI, VA, MT) deer","https://promedmail.org/promed-post/?id=8708278&view=true"
2023-02-10,"Avian influenza (25): Europe (UK) seal, HPAI H5N1","https://promedmail.org/promed-post/?id=8708269&view=true"
2023-02-09,"Diphtheria - Americas (02): Dominican Republic, fatal, RFI","https://promedmail.org/promed-post/?id=8708275&view=true"
2023-02-09,"Poliomyelitis update (08): WPV1 ES, cVDPV2 AFP & ES, Pakistan vacc., Nigeria cVDPV","https://promedmail.org/promed-post/?id=8708270&view=true"
2023-02-09,"MERS-CoV (01): Oman, WHO","https://promedmail.org/promed-post/?id=8708268&view=true"
2023-02-09,"Pertussis update (03): Canada (AB) more cases, low vaccination coverage","https://promedmail.org/promed-post/?id=8708267&view=true"
2023-02-09,"Porcine reprod. & resp. syndrome - Israel","https://promedmail.org/promed-post/?id=8708265&view=true"
2023-02-09,"Hantavirus - Americas (05): Chile (ML) susp","https://promedmail.org/promed-post/?id=8708261&view=true"
2023-02-09,"Streptococcus, gp A update (05): Canada, iGAS, meningitis, child","https://promedmail.org/promed-post/?id=8708260&view=true"
2023-02-09,"Meningitis, meningococcal - Niger: fatal, sg C, mass vacc., ACW polysac. vacc. WHO","https://promedmail.org/promed-post/?id=8708257&view=true"
2023-02-09,"Avian influenza (24): Europe (Belgium) wild bird, HPAI H5N1","https://promedmail.org/promed-post/?id=8708256&view=true"
2023-02-09,"Strangles - North America (02): USA (FL, WA) horse","https://promedmail.org/promed-post/?id=8708254&view=true"
2023-02-08,"Avian influenza (23): Americas (Peru) marine mammals, lion","https://promedmail.org/promed-post/?id=8708233&view=true"
2023-02-08,"Avian influenza (22): Asia (Nepal) poultry, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8708222&view=true"
