"date","caption","link"
2023-03-10,"Foot & mouth disease - Turkey: livestock, st SAT-2, 1st report, spread","https://promedmail.org/promed-post/?id=8708855&view=true"
2023-03-10,"Avian influenza (44): Europe (Italy, UK) poultry, wild bird, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8708851&view=true"
2023-03-10,"Plague - Congo DR: (IT) 2022","https://promedmail.org/promed-post/?id=8708848&view=true"
2023-03-10,"Botulism - Germany: ex Turkey, iatrogenic","https://promedmail.org/promed-post/?id=8708845&view=true"
2023-03-10,"Avian influenza (43): Asia (Cambodia) wild, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8708840&view=true"
2023-03-10,"Rabies (08): Americas (USA)","https://promedmail.org/promed-post/?id=8708761&view=true"
2023-03-09,"Adenovirus - India (04): (WB) fatal, RFI","https://promedmail.org/promed-post/?id=8708829&view=true"
2023-03-09,"Avian influenza (42): Europe (France) fox, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8708841&view=true"
2023-03-09,"Pigeon breeders' lung - India: (MH) more cases, alert","https://promedmail.org/promed-post/?id=8708833&view=true"
2023-03-09,"Pertussis update (04): Canada (ON) more cases, low vaccination coverage, 2022","https://promedmail.org/promed-post/?id=8708832&view=true"
2023-03-09,"Syphilis - USA (06): (OR) men, women, congenital, increasing cases, 2022","https://promedmail.org/promed-post/?id=8708831&view=true"
2023-03-09,"Dengue/DHF update (02): Africa, Asia, therapeutic development halted","https://promedmail.org/promed-post/?id=8708830&view=true"
2023-03-09,"Respiratory viruses: immunocompromised patients, 2 monoclonal antibody cocktail","https://promedmail.org/promed-post/?id=8708828&view=true"
2023-03-09,"Multiple diseases, cereal crops - Australia: (QL,NS) alert","https://promedmail.org/promed-post/?id=8708826&view=true"
2023-03-08,"Flavescence doree, grapevine - France: (southwest)","https://promedmail.org/promed-post/?id=8708823&view=true"
2023-03-08,"Wilt disease, coffee - Cote d'Ivoire: re-emergence","https://promedmail.org/promed-post/?id=8708822&view=true"
2023-03-08,"Avian influenza (37): Europe, wild bird, poultry, HPAI H5N1, H5N5, WOAH, corr","https://promedmail.org/promed-post/?id=8708819&view=true"
2023-03-08,"Avian influenza (41): Americas (Chile) marine otter","https://promedmail.org/promed-post/?id=8708815&view=true"
2023-03-08,"Diphtheria - Nigeria (06): (KN) fatal","https://promedmail.org/promed-post/?id=8708810&view=true"
2023-03-08,"Avian influenza (40): Americas (Uruguay) backyard, HPAI H5, 1st rep, WOAH","https://promedmail.org/promed-post/?id=8708814&view=true"
