"date","caption","link"
2023-01-28,"Syphilis - Serbia: rising incidence, men, 2021","https://promedmail.org/promed-post/?id=8708013&view=true"
2023-01-28,"Poliomyelitis update (06): WPV1 ES, cVDPV1 AFP, cVDPV2 ES","https://promedmail.org/promed-post/?id=8708021&view=true"
2023-01-28,"Foot & mouth disease - Iraq (03): (NI, DI) livestock, confirmed, WOAH","https://promedmail.org/promed-post/?id=8708022&view=true"
2023-01-28,"African swine fever - Africa: South Africa (GT) domestic, suspected, RFI","https://promedmail.org/promed-post/?id=8708020&view=true"
2023-01-27,"Pertussis update (01): Canada (AB)","https://promedmail.org/promed-post/?id=8708010&view=true"
2023-01-27,"Q fever - India: (Hyderabad) abattoir workers","https://promedmail.org/promed-post/?id=8708009&view=true"
2023-01-27,"Toxoplasmosis, bighorn sheep - USA: (western)","https://promedmail.org/promed-post/?id=8708006&view=true"
2023-01-27,"Filariasis - Philippines: (SC)","https://promedmail.org/promed-post/?id=8708004&view=true"
2023-01-27,"Kyasanur forest disease - India: (KA)","https://promedmail.org/promed-post/?id=8708003&view=true"
2023-01-27,"Avian influenza (15): Europe (France) cat, HPAI H5N1","https://promedmail.org/promed-post/?id=8707997&view=true"
2023-01-27,"Undiagnosed deaths, cattle - Jersey: notifiable diseases excluded, RFI","https://promedmail.org/promed-post/?id=8708001&view=true"
2023-01-26,"Hepatitis A - UK: (England) school children","https://promedmail.org/promed-post/?id=8707998&view=true"
2023-01-26,"Mpox update (04): worldwide, USA, drug sensitivity, evolution, Viet Nam","https://promedmail.org/promed-post/?id=8707984&view=true"
2023-01-26,"Sheep pox & goat pox - Azerbaijan: (HA) sheep, WOAH","https://promedmail.org/promed-post/?id=8707994&view=true"
2023-01-26,"Contagious bovine pleuropneumonia - Uganda: (AG) spread","https://promedmail.org/promed-post/?id=8707991&view=true"
2023-01-26,"Root & crown rot, strawberry - Mexico: (MC)","https://promedmail.org/promed-post/?id=8707985&view=true"
2023-01-26,"Late blight, potato - UK: fungicide resistances","https://promedmail.org/promed-post/?id=8707982&view=true"
2023-01-26,"Undiagnosed deaths, camel - Saudi Arabia: (RI) RFI","https://promedmail.org/promed-post/?id=8707979&view=true"
2023-01-26,"Streptococcus zooepidemicus - USA: (CA) dog","https://promedmail.org/promed-post/?id=8707977&view=true"
2023-01-26,"Cholera, diarrhea & dysentery update (05): Africa","https://promedmail.org/promed-post/?id=8707972&view=true"
